City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Touros,-5.1989,-35.4608,79.7,77,74,12.68,BR,2021-11-02 01:25:44
68,Busselton,-33.65,115.3333,60.04,56,43,16.82,AU,2021-11-02 01:30:12
69,Port Alfred,-33.5906,26.891,60.44,73,36,26.49,ZA,2021-11-02 01:30:12
70,Guarapari,-20.6667,-40.4975,73.29,97,100,8.93,BR,2021-11-02 01:30:13
71,Nemuro,43.3236,145.575,46.83,67,100,17.27,JP,2021-11-02 01:30:14
72,Cayenne,4.9333,-52.3333,82.09,81,64,5.01,GF,2021-11-02 01:30:15
73,Asau,46.4333,26.4,45.52,91,1,4.03,RO,2021-11-02 01:30:15
74,Ranong,9.9658,98.6348,78.73,79,100,2.86,TH,2021-11-02 01:30:15
75,Misratah,32.3754,15.0925,74.43,50,0,5.37,LY,2021-11-02 01:30:16
76,Lagoa,39.05,-27.9833,69.57,83,86,2.71,PT,2021-11-02 01:30:16
77,Dom Pedro,-4.4833,-44.45,74.28,96,100,1.7,BR,2021-11-02 01:30:17
78,Quesnel,52.9999,-122.5029,28.9,80,1,0.0,CA,2021-11-02 01:30:17
79,Glenwood Springs,39.5505,-107.3248,54.52,70,90,5.75,US,2021-11-02 01:30:17
80,Avarua,-21.2078,-159.775,78.85,73,40,17.27,CK,2021-11-02 01:30:18
81,San Patricio,28.017,-97.5169,76.84,69,0,7.94,US,2021-11-02 01:30:18
82,Cape Town,-33.9258,18.4232,55.89,78,20,1.99,ZA,2021-11-02 01:29:48
83,Masty,53.4122,24.5387,40.19,90,4,11.27,BY,2021-11-02 01:30:19
84,Bredasdorp,-34.5322,20.0403,54.72,82,45,8.05,ZA,2021-11-02 01:30:19
85,Hofn,64.2539,-15.2082,37.65,59,52,29.12,IS,2021-11-02 01:30:19
86,Camacha,33.0833,-16.3333,67.42,83,20,5.75,PT,2021-11-02 01:30:20
87,Castro,-24.7911,-50.0119,57.96,97,58,7.23,BR,2021-11-02 01:30:20
88,Suba,10.8438,121.0102,83.32,71,96,13.67,PH,2021-11-02 01:30:20
89,Luderitz,-26.6481,15.1594,56.48,73,0,16.22,NA,2021-11-02 01:30:21
90,Lorengau,-2.0226,147.2712,86.5,60,100,5.93,PG,2021-11-02 01:30:26
91,Hermanus,-34.4187,19.2345,54.9,71,72,9.01,ZA,2021-11-02 01:30:27
92,Upernavik,72.7868,-56.1549,23.67,95,100,10.74,GL,2021-11-02 01:30:27
93,Rio Gallegos,-51.6226,-69.2181,50.05,76,0,6.91,AR,2021-11-02 01:25:52
94,Makakilo City,21.3469,-158.0858,80.92,64,1,8.05,US,2021-11-02 01:30:28
95,Arlit,18.7369,7.3853,77.68,20,89,7.58,NE,2021-11-02 01:30:28
96,Rosetta,31.4044,30.4164,71.42,70,58,8.84,EG,2021-11-02 01:30:28
97,Lavrentiya,65.5833,-171.0,17.37,84,100,20.24,RU,2021-11-02 01:30:29
98,Fallon,39.4735,-118.7774,59.41,50,75,3.44,US,2021-11-02 01:30:29
99,Yellowknife,62.456,-114.3525,32.41,99,75,8.05,CA,2021-11-02 01:30:30
100,Ahuimanu,21.4447,-157.8378,82.11,68,75,8.05,US,2021-11-02 01:30:30
101,Tura,25.5198,90.2201,69.64,77,0,1.57,IN,2021-11-02 01:30:31
102,Port Blair,11.6667,92.75,83.32,75,100,10.42,IN,2021-11-02 01:30:31
103,Tasiilaq,65.6145,-37.6368,26.76,72,100,5.37,GL,2021-11-02 01:30:31
104,Kaeo,-35.1,173.7833,68.32,61,4,11.52,NZ,2021-11-02 01:30:32
105,Gornozavodsk,58.3758,58.3211,13.44,71,0,8.1,RU,2021-11-02 01:30:32
106,Kargasok,59.0556,80.8572,6.17,84,100,13.0,RU,2021-11-02 01:30:33
107,Dudinka,69.4058,86.1778,-3.1,96,100,11.97,RU,2021-11-02 01:30:33
108,Dikson,73.5069,80.5464,4.82,94,7,8.5,RU,2021-11-02 01:30:34
109,Khatanga,71.9667,102.5,0.48,98,100,2.91,RU,2021-11-02 01:30:34
110,Arenapolis,-14.4503,-56.8461,73.92,93,30,3.87,BR,2021-11-02 01:30:35
111,Hualmay,-11.0964,-77.6139,63.59,85,21,9.19,PE,2021-11-02 01:30:35
112,Ko Samui,9.5357,99.9357,82.31,83,20,0.0,TH,2021-11-02 01:30:35
113,Korla,41.7597,86.1469,45.46,32,98,2.64,CN,2021-11-02 01:30:36
114,Chuy,-33.6971,-53.4616,65.26,93,95,10.58,UY,2021-11-02 01:30:36
115,Meulaboh,4.1363,96.1285,81.68,74,86,4.38,ID,2021-11-02 01:30:37
116,Pevek,69.7008,170.3133,3.43,95,100,11.79,RU,2021-11-02 01:30:37
117,Ribeira Grande,38.5167,-28.7,70.63,86,100,13.6,PT,2021-11-02 01:30:37
118,Beringovskiy,63.05,179.3167,-0.71,88,15,15.55,RU,2021-11-02 01:30:38
119,Bengkulu,-3.8004,102.2655,79.0,85,95,0.56,ID,2021-11-02 01:30:38
